id,sentiment,text,language_labels,clean_text,labels,rf_prediction
3395,negative,@ News18UP Tumhaare pass or koi news nhi h kya jo esi faaltu chize dikha rhe ho Desh ki security ke liye jo jroori h … https // t . co / TkbikdTTcT,"['O', 'Eng', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Eng', 'Eng', 'Hin', 'Hin', 'Hin', 'Hin', 'O', 'Eng', 'O', 'Eng', 'O', 'Hin', 'O', 'Hin']",mention news18up tumhaare pass or koi news nhi h kya jo esi faaltu chize dikha rhe ho desh ki security ke liye jo jroori h t co tkbikdttct,0,neutral
3599,positive,@ ZeeNewsHindi Is desh ka Muslim ko hamesha uska fundamental right milla hai kya muslmaan jantantr ka hisha ni owais … https // t . co / 4N7XDAkZQ8,"['O', 'Eng', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Eng', 'Eng', 'Eng', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Eng', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng']",mention zeenewshindi is desh ka muslim ko hamesha uska fundamental right milla hai kya muslmaan jantantr ka hisha ni owais t co 4n7xdakzq8,2,neutral
3735,neutral,@ er0rr420 @ Sanjeev40330782 @ Prateik9807 @ JoharHussaiin @ MehranMarri @ TarekFatah @ narendramodi @ BJP4India … https // t . co / T4744zdqp7,"['O', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Hin', 'O', 'Hin', 'O', 'Hin', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng']",mention er0rr420 mention sanjeev40330782 mention prateik9807 mention joharhussaiin mention mehranmarri mention tarekfatah mention narendramodi mention bjp4india t co t4744zdqp7,1,neutral
3748,positive,@ shannon _ bahen So glad to have you by my side always ❤️❤️ that will never change . Ily Shan & thanks for always being … https // t . co / Yhw0mwKOUM,"['O', 'Hin', 'O', 'Hin', 'Hin', 'Eng', 'Eng', 'Eng', 'Eng', 'Hin', 'Eng', 'Eng', 'Eng', 'O', 'Eng', 'Eng', 'Eng', 'Eng', 'O', 'Hin', 'Eng', 'O', 'Eng', 'Eng', 'Eng', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Hin', 'O', 'Hin']",mention shannon bahen so glad to have you by my side always that will never change ily shan thanks for always being t co yhw0mwkoum,2,positive
3783,negative,@ MixedRaita @_ YogendraYadav ji ... I am with @ ArvindKejriwal ji for this one jab unhone aapke GPL maari .. U deserved … https // t . co / uGxFtRes4t,"['O', 'Eng', 'O', 'Hin', 'Hin', 'O', 'Hin', 'Hin', 'Hin', 'O', 'Hin', 'Hin', 'Eng', 'Eng', 'Hin', 'Hin', 'Hin', 'Hin', 'Eng', 'Eng', 'O', 'Hin', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Hin', 'O', 'Hin']",mention mixedraita mention yogendrayadav ji i am with mention arvindkejriwal ji for this one jab unhone aapke gpl maari u deserved t co ugxftres4t,0,neutral
3919,neutral,@ Dikshapandey22 isko kisine IRCTC ke helpline ka number pakda diya aur yeh bola ke yeh number modiji ka personal number hai 😂😂,"['O', 'Eng', 'Hin', 'Hin', 'Eng', 'Eng', 'Eng', 'Eng', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Eng', 'Hin', 'Eng', 'Eng', 'Hin', 'O']",mention dikshapandey22 isko kisine irctc ke helpline ka number pakda diya aur yeh bola ke yeh number modiji ka personal number hai,1,neutral
3975,negative,@ RailwaySeva @ anandk2012 🤣🤣🤣 khud ki kaise marte hain koi is Mahatma 🙏 @ anandk2012 se sikhe 🤣🤣 cookies Saf karne se … https // t co / DJtPomQaj5,"['O', 'Eng', 'O', 'Eng', 'O', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Eng', 'O', 'O', 'Eng', 'Hin', 'Hin', 'O', 'Eng', 'Hin', 'Hin', 'Hin', 'O', 'Eng', 'O', 'Eng', 'Eng', 'O', 'Eng']",mention railwayseva mention anandk2012 khud ki kaise marte hain koi is mahatma mention anandk2012 se sikhe cookies saf karne se t co djtpomqaj5,0,neutral
4084,positive,Sir m aapse milna chahtu or bundelkhand m haar k krn pr aapse chrcha chahta hu M bht chhota hu but m aapko suggest … https // t co / BbvnSPd4Pj,"['Eng', 'Hin', 'Hin', 'Hin', 'Hin', 'Eng', 'Eng', 'Eng', 'Hin', 'Hin', 'Eng', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Eng', 'Hin', 'Hin', 'Eng', 'O', 'Eng', 'O', 'Eng', 'Hin', 'O', 'Hin']",sir m aapse milna chahtu or bundelkhand m haar k krn pr aapse chrcha chahta hu m bht chhota hu but m aapko suggest t co bbvnspd4pj,2,neutral
4208,neutral,Modi modi kahte kahte Hindustan pura ho gaya Kathmulllo ke jute pade Pakistan adhura rah gaya ....... . . Aaaj maa … https // t . co / qPtSn2uSPN,"['Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'O', 'O', 'O', 'Hin', 'Hin', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng']",modi modi kahte kahte hindustan pura ho gaya kathmulllo ke jute pade pakistan adhura rah gaya aaaj maa t co qptsn2uspn,1,neutral
4287,positive,@ ChetanKawade10 @ Manikaiyer @ NishiMaheshwar1 @ chowkidar _ rosy @ narendramodi @ sharad110 @ KapilMishra _ IND Abhi jal rah … https // t co / HDhqCB7TU0,"['O', 'Eng', 'O', 'Eng', 'O', 'Hin', 'O', 'Hin', 'O', 'Hin', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Hin', 'Hin', 'Hin', 'Hin', 'O', 'Eng', 'O', 'Eng', 'Eng', 'O', 'Eng']",mention chetankawade10 mention manikaiyer mention nishimaheshwar1 mention chowkidar rosy mention narendramodi mention sharad110 mention kapilmishra ind abhi jal rah t co hdhqcb7tu0,2,neutral
4342,positive,Mubarak to All Naya Pakistan https // t . co / WB8O9HXnR2,"['Hin', 'Eng', 'Hin', 'Hin', 'Eng', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng']",mubarak to all naya pakistan t co wb8o9hxnr2,2,neutral
4397,negative,Isko bf nahi kehta isko noukar kehta hain . https // t . co / ThJlIAAH1A,"['Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng']",isko bf nahi kehta isko noukar kehta hain t co thjliaah1a,0,neutral
4668,neutral,Hamare Sheher Mein Sach Baat Kehne Wala Hee Har Ik Nazar Mein Sazawaar Kuch Zyada Hai Poetry Ejaz Hussain FAKHI … https // t . co / Koc797uics,"['Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Eng', 'Hin', 'Hin', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng']",hamare sheher mein sach baat kehne wala hee har ik nazar mein sazawaar kuch zyada hai poetry ejaz hussain fakhi t co koc797uics,1,neutral
4754,positive,@ AbbassFr Dont feel even jealous of @ ImranKhanPTI Allah sb ko nhi bulata apny ghr yaha tak k 2 bar itni jaldi Mash … https // t . co / tOuDm2sqLm,"['O', 'Eng', 'Hin', 'Hin', 'Eng', 'Eng', 'Eng', 'O', 'Hin', 'Eng', 'Eng', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'O', 'Hin', 'Hin', 'Hin', 'Hin', 'O', 'Eng', 'O', 'Eng', 'O', 'Hin', 'O', 'Hin']",mention abbassfr dont feel even jealous of mention imrankhanpti allah sb ko nhi bulata apny ghr yaha tak k 2 bar itni jaldi mash t co toudm2sqlm,2,neutral
5009,positive,Fantastic film # PMNarendraModi Must watch biopic . Great performance by underrated dhaansu actor Mr @ vivekoberoi si … https // t . co / YnOtk2ETyL,"['Eng', 'Eng', 'O', 'Eng', 'Eng', 'Eng', 'Eng', 'O', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Hin', 'Hin', 'O', 'Hin', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Hin', 'O', 'Hin']",fantastic film hashtag pmnarendramodi must watch biopic great performance by underrated dhaansu actor mr mention vivekoberoi si t co ynotk2etyl,2,neutral
5015,positive,@ SarahThyre This is nothing !! My sister once used Fevistick as Lip Balm !!😊,"['O', 'Eng', 'Eng', 'Eng', 'Eng', 'O', 'Hin', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Hin', 'Hin', 'O']",mention sarahthyre this is nothing my sister once used fevistick as lip balm,2,neutral
5110,neutral,RT @ blissed _ snack Kisi ko pehly message krne se apki shaan mai kami nahi ajati . . . Han lekin dosra khud ko bohat toup cheez smjhne l …,"['Eng', 'O', 'Eng', 'O', 'Eng', 'Hin', 'Hin', 'Eng', 'Eng', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'O', 'O', 'O', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'O']",rt mention blissed snack kisi ko pehly message krne se apki shaan mai kami nahi ajati han lekin dosra khud ko bohat toup cheez smjhne l,1,neutral
5279,neutral,cute (@ maryamjan143 ) on TikTok # imran # khan # perfamance # umarh # ramzan # mubarak # alvida # friday https // t . co / nXPMPNQCy4,"['Eng', 'O', 'Eng', 'O', 'Eng', 'Hin', 'O', 'Hin', 'O', 'Hin', 'O', 'Eng', 'O', 'Hin', 'O', 'Hin', 'O', 'Hin', 'O', 'Hin', 'O', 'Eng', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng']",cute mention maryamjan143 on tiktok hashtag imran hashtag khan hashtag perfamance hashtag umarh hashtag ramzan hashtag mubarak hashtag alvida hashtag friday t co nxpmpnqcy4,1,neutral
5294,negative,RT @ Hritik31822083 @ narendramodi Sir ye # congress logo change kr do Kyoki election harne ke bad ye # Tiranga dustbin me jata h or pta nhi …,"['Eng', 'O', 'Eng', 'O', 'Eng', 'Hin', 'Eng', 'O', 'Eng', 'Eng', 'Eng', 'Hin', 'Hin', 'Eng', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'O', 'Hin', 'Eng', 'Hin', 'Hin', 'Hin', 'Eng', 'Hin', 'Hin', 'O']",rt mention hritik31822083 mention narendramodi sir ye hashtag congress logo change kr do kyoki election harne ke bad ye hashtag tiranga dustbin me jata h or pta nhi,0,neutral
5395,neutral,Godbless bro always remember so you may never forget ! @ chal _ jarina,"['Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Hin', 'O', 'O', 'Hin', 'O', 'Hin']",godbless bro always remember so you may never forget mention chal jarina,1,neutral
5712,positive,@ iamhamzaabbasi Arey Hamza bhai i . M hugest fan u r the legend of pyarey afzal mann mail moula jutt love you so mu … https // t . co / rbCYDo9sky,"['O', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'O', 'Eng', 'Eng', 'Eng', 'Eng', 'Hin', 'Eng', 'Eng', 'Hin', 'Hin', 'Hin', 'Hin', 'Eng', 'Hin', 'Hin', 'Eng', 'Hin', 'Eng', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng']",mention iamhamzaabbasi arey hamza bhai i m hugest fan u r the legend of pyarey afzal mann mail moula jutt love you so mu t co rbcydo9sky,2,positive
5789,positive,@ chrisklomp Ja politie maar het gaat om de vertaling richting de politiek . Toch benieuwd wie dat het bewuste lijstj … https // t . co / 3s6uFUY3br,"['O', 'Eng', 'Eng', 'Eng', 'Hin', 'Hin', 'Hin', 'Hin', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'O', 'Eng', 'Eng', 'Eng', 'Eng', 'Hin', 'Eng', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Hin', 'O', 'Eng']",mention chrisklomp ja politie maar het gaat om de vertaling richting de politiek toch benieuwd wie dat het bewuste lijstj t co 3s6ufuy3br,2,neutral
5910,positive,@ tiddi34 tl pa kch h ni acha ajkl 🌚 ye phr b acha h wrna jitna ganda kia hwa h na kch ladkon ne tl ko k bss 🌚,"['O', 'Eng', 'Eng', 'Eng', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'O', 'Eng', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Eng', 'Hin', 'O']",mention tiddi34 tl pa kch h ni acha ajkl ye phr b acha h wrna jitna ganda kia hwa h na kch ladkon ne tl ko k bss,2,neutral
6090,neutral,@ virendersehwag Baba ji World Cup daikh rahai hain,"['O', 'Eng', 'Eng', 'Hin', 'Eng', 'Eng', 'Hin', 'Hin', 'Hin']",mention virendersehwag baba ji world cup daikh rahai hain,1,neutral
6205,neutral,Ye kuchh ulta sidha bolanewalo ka jara bhi dhyan nahi dena chahiye ye sirf samy barbad karate hai inlogo ko des ya … https // t . co / lsEH1GKE5i,"['Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng']",ye kuchh ulta sidha bolanewalo ka jara bhi dhyan nahi dena chahiye ye sirf samy barbad karate hai inlogo ko des ya t co lseh1gke5i,1,neutral
6210,neutral,First of all I did he paid my bills and spoiled the fuck out of me . He was crazy so I kicked him to the curb end of storyyyyy !,"['Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'O', 'Eng', 'Eng', 'Eng', 'Hin', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng', 'Hin', 'Hin', 'O']",first of all i did he paid my bills and spoiled the fuck out of me he was crazy so i kicked him to the curb end of storyyyyy,1,positive
6223,positive,RT @ AroraKasturi @ ImKasam _ insan1 🎂🎂 Happy birthday 🎂🎂 @ ImKasam _ insan1 🎂🍧🍨 Sister ji 🎁🍫🍬🎈 Papa Ji aapko humesa khus rakhe 🙏 Dhan dhan s …,"['Hin', 'O', 'Hin', 'O', 'Hin', 'O', 'Eng', 'O', 'Eng', 'Hin', 'O', 'O', 'Hin', 'O', 'Eng', 'O', 'Eng', 'Hin', 'O', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'O', 'Hin', 'Hin', 'Hin', 'O']",rt mention arorakasturi mention imkasam insan1 happy birthday mention imkasam insan1 sister ji papa ji aapko humesa khus rakhe dhan dhan s,2,positive
6277,positive,@ mdfaisalsk27 Finally we didn ’ t change cowkidaar jaisa bhi imandaar hey,"['O', 'Eng', 'Eng', 'Eng', 'Eng', 'O', 'Eng', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin']",mention mdfaisalsk27 finally we didn t change cowkidaar jaisa bhi imandaar hey,2,neutral
6490,positive,@ SushmaSwaraj Im proud of u mam n thank u so much aapne apna kam bahut achi tarah se nibhaya hai hum apko hamesha y … https // t . co / BsYc1C9rcq,"['O', 'Hin', 'Hin', 'Eng', 'Eng', 'Eng', 'Hin', 'Eng', 'Hin', 'Eng', 'Eng', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng', 'O', 'Eng']",mention sushmaswaraj im proud of u mam n thank u so much aapne apna kam bahut achi tarah se nibhaya hai hum apko hamesha y t co bsyc1c9rcq,2,positive
6536,neutral,@ sanjaynirupam Baba agar accha swadeshi janmo nirodhok ( contraceptive ) banaye aur ek saal ke liye population explos … https // t co / AfgRWDKWGC,"['O', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'O', 'Eng', 'O', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Eng', 'Eng', 'O', 'Eng', 'O', 'Eng', 'Eng', 'O', 'Eng']",mention sanjaynirupam baba agar accha swadeshi janmo nirodhok contraceptive banaye aur ek saal ke liye population explos t co afgrwdkwgc,1,neutral
6564,positive,@ triksha12 _ d @ ArchanaEyer @ PriyaTats @ mohit _ sethi _ 7 @ priety _ preets I thinks it's true,"['O', 'Eng', 'O', 'Eng', 'O', 'Hin', 'O', 'Hin', 'O', 'Hin', 'O', 'Hin', 'O', 'O', 'O', 'Eng', 'O', 'Eng', 'Eng', 'Eng', 'Eng', 'Eng']",mention triksha12 d mention archanaeyer mention priyatats mention mohit sethi 7 mention priety preets i thinks its true,2,neutral
6598,neutral,@ alehsfeemi @ MrDannyxX007 Ab kia kia es me sharat bhi nhi ki sad bnai phr bhi 😕😈😒,"['O', 'Eng', 'O', 'Eng', 'Eng', 'Hin', 'Eng', 'Eng', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'Hin', 'O']",mention alehsfeemi mention mrdannyxx007 ab kia kia es me sharat bhi nhi ki sad bnai phr bhi,1,neutral
